"","row","col","chisq p-value (no correction)","OR","0.95CI_low","0.95CI_up","fisher exact p-value (simulated)","chisq p-value (with correction)"
"reg_binary vs sh_change_precase","reg_binary","sh_change_precase",0.84494288724464,0.934065934065934,0.471505233978142,1.85041247966913,0.864010260190257,0.982662896255113
"reg_binary vs plaintiff_dir","reg_binary","plaintiff_dir",0.246093501064075,0.666666666666667,0.335244419378842,1.32573256631068,0.289928447773797,0.325536053850651
"reg_binary vs disposition","reg_binary","disposition",0.253431468100389,0.535714285714286,0.181028822786124,1.58532653254576,0.310466006094938,0.376071096777818
"reg_binary vs family_context","reg_binary","family_context",0.128804103121932,0.623376623376623,0.338177656018339,1.14909547587428,0.159754827482202,0.173012776376705
"reg_binary vs rel_s461","reg_binary","rel_s461",0.0407414321682275,1.98979591836735,1.02350686302251,3.868354907811,0.0438419929423853,0.0605841669405761
"reg_binary vs gender_pl","reg_binary","gender_pl",0.00222870417471698,0.299319727891157,0.134497547621667,0.666125896636075,0.00294344051722454,0.00422688004625506
"reg_binary vs buscat","reg_binary","buscat",0.0995468765883396,NA,NA,NA,0.0529735132433783,0.0995468765883396
"reg_binary vs dirs_bin","reg_binary","dirs_bin",0.00115321078022983,0.358799876275905,0.191571620087714,0.672006381512357,0.00150195404565668,0.00193722760633869
"reg_binary vs dh_5_bin","reg_binary","dh_5_bin",0.548775658906227,0.819672131147541,0.427705214155688,1.57085389736537,0.62299189004111,0.663404226597383
"reg_binary vs majsh","reg_binary","majsh",0.0761844116319046,0.574815390594636,0.310828733302841,1.06300575803764,0.0852340773173167,0.106085701232957
"reg_binary vs period","reg_binary","period",0.00798724071069789,2.18181818181818,1.22116234894633,3.89819632305223,0.00905567075337328,0.0121734775903496
"sh_change_precase vs plaintiff_dir","sh_change_precase","plaintiff_dir",0.0255780756360272,0.431404958677686,0.20376969940708,0.913336177622242,0.0367016793819509,0.0428798306396808
"sh_change_precase vs disposition","sh_change_precase","disposition",0.916284219230778,1.06508875739645,0.328613260066466,3.45212503263825,1,0.999999999999999
"sh_change_precase vs family_context","sh_change_precase","family_context",0.0316636539938484,2.33846153846154,1.06349690336661,5.14190718332427,0.0442918738491875,0.049241874913253
"sh_change_precase vs rel_s461","sh_change_precase","rel_s461",0.524803863064191,0.76625386996904,0.336779036292876,1.7434131283989,0.687763620237038,0.663669852281383
"sh_change_precase vs gender_pl","sh_change_precase","gender_pl",0.887841154862241,1.06837606837607,0.426086129680309,2.67886547805514,1,0.999999999999999
"sh_change_precase vs buscat","sh_change_precase","buscat",0.22335219891358,NA,NA,NA,0.220889555222389,0.22335219891358
"sh_change_precase vs dirs_bin","sh_change_precase","dirs_bin",0.247288912988707,1.4937106918239,0.755267956895156,2.95414575780653,0.289528602831592,0.327037036803464
"sh_change_precase vs dh_5_bin","sh_change_precase","dh_5_bin",0.614743143113722,1.21111111111111,0.574084625350688,2.55500680332761,0.697488988594433,0.757539723719194
"sh_change_precase vs majsh","sh_change_precase","majsh",0.164773352312325,1.73469387755102,0.792777314595918,3.79572269969251,0.19678755768414,0.228601439985897
"sh_change_precase vs period","sh_change_precase","period",0.977149265318606,0.990202082057563,0.504797742326983,1.94236241784935,1,0.999999999999999
"plaintiff_dir vs disposition","plaintiff_dir","disposition",0.687836810135649,1.30392156862745,0.356152561491059,4.77382908609111,1,0.926421990907064
"plaintiff_dir vs family_context","plaintiff_dir","family_context",0.0220868617768114,0.378725891291642,0.161618222692876,0.887482230312705,0.0231779973527668,0.0358776833711829
"plaintiff_dir vs rel_s461","plaintiff_dir","rel_s461",0.588154020334431,1.25525525525525,0.550660728806752,2.86140934593303,0.687385556018682,0.734827385311259
"plaintiff_dir vs gender_pl","plaintiff_dir","gender_pl",0.00489589749185893,3.2,1.38422064675739,7.39766454429624,0.0120516161932158,0.0102091818452257
"plaintiff_dir vs buscat","plaintiff_dir","buscat",0.123360098004769,NA,NA,NA,0.0879560219890055,0.123360098004769
"plaintiff_dir vs dirs_bin","plaintiff_dir","dirs_bin",0.285687982783303,1.48717948717949,0.715818473221706,3.0897537711386,0.368877680497105,0.37463885171326
"plaintiff_dir vs dh_5_bin","plaintiff_dir","dh_5_bin",0.161697823499535,0.594642857142857,0.285860086345827,1.23696921830228,0.173331305479081,0.228921542028968
"plaintiff_dir vs majsh","plaintiff_dir","majsh",0.120276684914898,0.529411764705882,0.235329794898668,1.19099588188432,0.1353864516655,0.172159867196985
"plaintiff_dir vs period","plaintiff_dir","period",0.75977932433589,0.89873417721519,0.453255099870208,1.78204971444548,0.861573854408399,0.895740075337883
"disposition vs family_context","disposition","family_context",0.0176164517932528,8.3265306122449,1.05773660090406,65.5466701042523,0.0178100527321674,0.0377359631024146
"disposition vs rel_s461","disposition","rel_s461",0.620282312680534,1.31944444444444,0.439452629830256,3.96159568472207,0.568675362406268,0.841459848707544
"disposition vs gender_pl","disposition","gender_pl",0.855666036527482,0.884976525821596,0.237027804219393,3.30418388608261,0.740054000279191,0.999999999999994
"disposition vs buscat","disposition","buscat",0.622916964073163,NA,NA,NA,0.627186406796602,0.622916964073163
"disposition vs dirs_bin","disposition","dirs_bin",0.830447621190118,0.892561983471074,0.315231713075233,2.52724221990852,1,0.999999999999999
"disposition vs dh_5_bin","disposition","dh_5_bin",0.011403385361501,3.4796511627907,1.26414420657052,9.57799921225618,0.0193872575722649,0.0248414745330951
"disposition vs majsh","disposition","majsh",0.683436358216827,0.804878048780488,0.283094603405802,2.2883822779202,0.784303729991079,0.894118767061606
"disposition vs period","disposition","period",0.315138456290461,0.590374331550802,0.209191989664523,1.66613383195507,0.446398503252612,0.45319725647094
"family_context vs rel_s461","family_context","rel_s461",0.463382816327278,1.305,0.639966088831562,2.66111756500934,0.482605386145394,0.578911919020947
"family_context vs gender_pl","family_context","gender_pl",0.0529330363384817,2.14835164835165,0.980053912049003,4.70934787181837,0.0681284105317772,0.0831150357983311
"family_context vs buscat","family_context","buscat",NA,NA,NA,NA,0.207396301849075,NA
"family_context vs dirs_bin","family_context","dirs_bin",0.363212370801396,1.33664021164021,0.71460573345917,2.50012975228343,0.429847153699455,0.452551864152948
"family_context vs dh_5_bin","family_context","dh_5_bin",0.0536759140904392,2.06060606060606,0.980500234468874,4.330541888454,0.0772771959817681,0.0795619371116606
"family_context vs majsh","family_context","majsh",0.0585301530990223,1.84390243902439,0.974742490233355,3.48807632652408,0.071492381850875,0.0840446569173673
"family_context vs period","family_context","period",0.159294065299578,1.54563492063492,0.841671459374801,2.83838459921246,0.170315070495171,0.209874798116386
"rel_s461 vs gender_pl","rel_s461","gender_pl",0.0411169435847739,3.42182890855457,0.988078520851743,11.8501848105416,0.041010326326509,0.0699487318130875
"rel_s461 vs buscat","rel_s461","buscat",0.799925799941206,NA,NA,NA,0.705647176411794,0.799925799941206
"rel_s461 vs dirs_bin","rel_s461","dirs_bin",0.102006581976643,0.550847457627119,0.268054761393447,1.13198109221006,0.12004777990659,0.143773543045987
"rel_s461 vs dh_5_bin","rel_s461","dh_5_bin",0.185441111529152,0.580827067669173,0.258293325711604,1.30611227219184,0.253909026520295,0.256723786128141
"rel_s461 vs majsh","rel_s461","majsh",0.111803333972145,0.575438596491228,0.289981659719715,1.14189834850884,0.146609447104465,0.158843269340653
"rel_s461 vs period","rel_s461","period",0.383405600473815,1.33989145183175,0.693243652998717,2.58972310085487,0.40549012631316,0.481589672359173
"gender_pl vs buscat","gender_pl","buscat",0.456630651359932,NA,NA,NA,0.366816591704148,0.456630651359932
"gender_pl vs dirs_bin","gender_pl","dirs_bin",0.108053880757734,2.01098901098901,0.848099578691796,4.76839855121329,0.158761586080789,0.159686432807166
"gender_pl vs dh_5_bin","gender_pl","dh_5_bin",0.825469057315275,1.10379464285714,0.4587639450695,2.65575058086911,1,1
"gender_pl vs majsh","gender_pl","majsh",0.255688325163702,1.57222844344905,0.717693051422452,3.44423326029277,0.299412647550322,0.353062856269526
"gender_pl vs period","gender_pl","period",0.591625747802639,1.23534798534799,0.570273835205598,2.67605587121691,0.697272046561171,0.732875867719762
"buscat vs dirs_bin","buscat","dirs_bin",0.456550140211426,NA,NA,NA,0.571714142928536,0.456550140211426
"buscat vs dh_5_bin","buscat","dh_5_bin",0.671332724559808,NA,NA,NA,0.664667666166917,0.671332724559808
"buscat vs majsh","buscat","majsh",0.36052630292269,NA,NA,NA,0.344327836081959,0.36052630292269
"buscat vs period","buscat","period",0.665370453344958,NA,NA,NA,0.724137931034483,0.665370453344958
"dirs_bin vs dh_5_bin","dirs_bin","dh_5_bin",0.140162191250687,1.625,0.850287836522897,3.10556600550512,0.179438175186198,0.191052266454798
"dirs_bin vs majsh","dirs_bin","majsh",9.41310393160688e-06,5.33333333333333,2.42886238321201,11.7110152642031,5.86327611970235e-06,1.95592887615112e-05
"dirs_bin vs period","dirs_bin","period",0.547582735069102,1.1959595959596,0.667318781157507,2.14338243663225,0.555805878202679,0.650844235494769
"dh_5_bin vs majsh","dh_5_bin","majsh",0.0258696212808817,2.36263736263736,1.09419832683478,5.10150232405988,0.0356795831367503,0.039988903571568
"dh_5_bin vs period","dh_5_bin","period",0.77991701078961,1.09427609427609,0.58162697324803,2.0587768889348,0.872040023920881,0.90599535570595
"majsh vs period","majsh","period",0.684415203675697,1.13492063492063,0.616376497884627,2.08970467237015,0.756572309195346,0.801783227394311
